TransactionID;TransactionDate;Amount;TransactionType;AccountType
50;2022-02-20;289;Deposit;Savings
51;2022-12-29;962;Withdrawal;Savings
52;2022-03-28;266;Withdrawal;Savings
53;2022-03-13;698;Withdrawal;Savings
54;2022-07-16;640;Deposit;Savings
55;2022-01-03;545;Withdrawal;Checking
56;2022-12-09;544;Deposit;Savings
57;2022-07-07;715;Withdrawal;Checking
58;2022-01-16;245;Withdrawal;Checking
59;2022-05-06;152;Withdrawal;Savings
60;2022-09-21;676;Deposit;Checking
61;2022-04-19;511;Deposit;Checking
62;2022-04-08;460;Deposit;Checking
63;2022-04-27;883;Deposit;Checking
64;2022-10-06;184;Deposit;Checking
65;2022-12-22;29;Deposit;Checking
66;2022-11-08;803;Withdrawal;Savings
67;2022-09-20;129;Deposit;Checking
68;2022-10-31;129;Withdrawal;Savings
69;2022-06-27;933;Withdrawal;Savings
70;2022-11-02;54;Deposit;Savings
71;2022-07-13;902;Withdrawal;Savings
72;2022-08-09;551;Withdrawal;Checking
73;2022-01-16;489;Deposit;Checking
74;2022-08-31;9908;Deposit;Savings
75;2022-07-15;274;Withdrawal;Savings
76;2022-08-08;336;Deposit;Savings
77;2022-04-17;389;Withdrawal;Checking
78;2022-11-03;618;Withdrawal;Savings
79;2022-04-18;43;Deposit;Savings
80;2022-08-31;443;Withdrawal;Savings
81;2022-12-17;544;Withdrawal;Savings
82;2022-01-24;889;Deposit;Checking
83;2022-08-05;9226;Withdrawal;Savings
84;2022-09-20;322;Withdrawal;Savings
85;2022-03-23;938;Withdrawal;Checking
86;2022-08-17;58;Deposit;Checking
87;2022-12-04;292;Withdrawal;Savings
88;2022-05-13;871;Withdrawal;Checking
89;2022-03-08;120;Deposit;Checking
90;2022-11-11;780;Withdrawal;Checking
91;2022-11-18;431;Withdrawal;Checking
92;2022-10-29;83;Deposit;Checking
93;2022-12-28;92;Withdrawal;Checking
94;2022-12-03;897;Deposit;Checking
95;2022-04-05;399;Deposit;Checking
96;2022-11-11;612;Deposit;Savings
97;2022-07-30;566;Withdrawal;Savings
98;2022-03-26;909;Withdrawal;Checking
99;2022-02-15;634;Deposit;Savings
100;2022-07-26;939;Withdrawal;Savings
101;2022-06-11;85;Withdrawal;Checking
102;2022-12-15;204;Withdrawal;Checking
103;2022-06-16;325;Deposit;Savings
104;2022-05-19;775;Withdrawal;Savings
105;2022-08-09;965;Deposit;Checking
106;2022-04-06;48;Withdrawal;Savings
107;2022-01-12;9464;Deposit;Savings
108;2022-12-15;132;Withdrawal;Checking
109;2022-11-21;973;Withdrawal;Checking
110;2022-05-22;869;Deposit;Checking
111;2022-10-08;181;Withdrawal;Checking
112;2022-03-24;847;Withdrawal;Checking
113;2022-02-27;144;Deposit;Savings
114;2022-07-03;661;Withdrawal;Checking
115;2022-12-27;228;Withdrawal;Savings
116;2022-01-06;955;Deposit;Savings
117;2022-12-18;792;Deposit;Checking
118;2022-12-31;720;Withdrawal;Savings
119;2022-10-20;7831;Withdrawal;Savings
120;2022-09-15;374;Deposit;Savings
121;2022-04-14;854;Withdrawal;Checking
122;2022-08-22;561;Withdrawal;Savings
123;2022-01-28;306;Deposit;Checking
124;2022-01-25;582;Withdrawal;Savings
125;2022-05-08;170;Withdrawal;Checking
126;2022-05-31;676;Withdrawal;Checking
127;2022-06-05;449;Withdrawal;Checking
128;2022-09-20;7497;Deposit;Savings
129;2022-08-19;198;Withdrawal;Savings
130;2022-01-22;607;Deposit;Savings
131;2022-03-25;257;Withdrawal;Checking
132;2022-12-20;882;Deposit;Checking
133;2022-08-28;691;Withdrawal;Savings
134;2023-01-01;293;Withdrawal;Checking
135;2022-07-26;931;Withdrawal;Savings
136;2022-07-06;817;Withdrawal;Checking
137;2022-05-28;862;Deposit;Savings
138;2022-06-15;388;Withdrawal;Savings
139;2022-05-03;611;Withdrawal;Checking
140;2022-02-09;555;Deposit;Savings
141;2022-10-25;974;Deposit;Savings
142;2022-05-18;369;Deposit;Checking
143;2022-10-01;918;Deposit;Checking
144;2022-08-23;202;Deposit;Checking
145;2022-02-18;384;Deposit;Savings
146;2022-08-17;513;Deposit;Checking
147;2022-08-02;907;Deposit;Checking
148;2022-09-24;371;Deposit;Savings
149;2022-09-12;556;Withdrawal;Checking
150;2022-04-25;955;Deposit;Checking
151;2022-04-28;384;Withdrawal;Savings
152;2022-09-19;24;Withdrawal;Savings
153;2022-03-18;700;Deposit;Savings
154;2022-03-16;131;Withdrawal;Savings
155;2022-03-21;378;Deposit;Checking
156;2022-09-06;99;Withdrawal;Savings
157;2022-03-14;575;Deposit;Savings
158;2022-01-19;932;Withdrawal;Checking
159;2022-11-16;8673;Deposit;Checking
160;2022-03-30;124;Withdrawal;Checking
161;2022-08-31;964;Deposit;Savings
162;2022-11-10;595;Withdrawal;Savings
163;2022-04-10;943;Withdrawal;Savings
164;2022-07-11;740;Withdrawal;Savings
165;2022-01-01;149;Deposit;Savings
166;2022-03-25;210;Deposit;Checking
167;2022-07-08;563;Withdrawal;Checking
168;2022-12-02;412;Deposit;Savings
169;2022-07-01;783;Deposit;Savings
170;2022-08-17;42;Deposit;Checking
171;2022-04-26;59;Deposit;Savings
172;2022-05-11;706;Withdrawal;Checking
173;2022-02-26;37;Withdrawal;Savings
174;2022-11-11;779;Deposit;Savings
175;2022-01-12;87;Deposit;Checking
176;2022-04-11;44;Deposit;Checking
177;2022-05-23;873;Deposit;Checking
178;2022-09-08;12;Withdrawal;Checking
179;2022-05-19;771;Deposit;Savings
180;2022-12-15;308;Withdrawal;Checking
181;2022-11-16;81;Withdrawal;Checking
182;2022-08-05;33;Withdrawal;Savings
183;2022-03-12;183;Deposit;Savings
184;2022-04-02;129;Withdrawal;Checking
185;2022-07-25;807;Withdrawal;Checking
186;2022-06-23;276;Deposit;Checking
187;2022-11-15;175;Deposit;Savings
188;2022-07-14;555;Deposit;Checking
189;2022-10-30;372;Deposit;Savings
190;2022-01-08;185;Withdrawal;Savings
191;2022-08-28;445;Withdrawal;Checking
192;2022-07-26;489;Deposit;Checking
193;2022-02-11;590;Withdrawal;Savings
194;2022-06-12;287;Deposit;Savings
195;2022-09-21;281;Withdrawal;Savings
196;2022-11-16;638;Withdrawal;Savings
197;2022-03-27;771;Withdrawal;Checking
198;2022-12-04;516;Deposit;Savings
199;2022-09-26;95;Withdrawal;Savings
200;2022-11-18;227;Withdrawal;Checking
201;2022-05-04;876;Deposit;Savings
202;2022-07-01;270;Withdrawal;Checking
203;2022-08-10;881;Withdrawal;Savings
204;2022-03-05;297;Deposit;Savings
205;2022-01-24;329;Withdrawal;Savings
206;2022-09-26;20;Withdrawal;Savings
207;2022-11-08;608;Withdrawal;Checking
208;2022-09-04;841;Withdrawal;Checking
209;2022-04-08;411;Deposit;Savings
210;2022-04-01;451;Withdrawal;Savings
211;2022-08-24;249;Deposit;Checking
212;2022-05-24;181;Withdrawal;Checking
213;2022-01-03;324;Withdrawal;Checking
214;2022-12-22;830;Withdrawal;Savings
215;2022-01-03;783;Deposit;Checking
216;2022-05-26;865;Withdrawal;Checking
217;2022-06-20;261;Withdrawal;Checking
218;2022-10-07;964;Withdrawal;Savings
219;2022-01-22;6862;Deposit;Savings
220;2022-05-28;140;Deposit;Savings
221;2022-07-14;599;Deposit;Checking
222;2022-10-25;462;Deposit;Savings
223;2022-06-12;890;Withdrawal;Checking
224;2022-10-03;622;Withdrawal;Checking
225;2022-11-30;844;Withdrawal;Savings
226;2022-04-30;697;Deposit;Savings
227;2022-07-23;529;Deposit;Checking
228;2022-06-15;153;Deposit;Savings
229;2022-02-15;926;Withdrawal;Savings
230;2022-11-27;8540;Deposit;Savings
231;2022-07-16;111;Withdrawal;Savings
232;2022-06-25;26;Withdrawal;Checking
233;2022-11-06;465;Withdrawal;Savings
234;2022-07-05;957;Deposit;Savings
235;2022-06-21;890;Withdrawal;Savings
236;2022-07-25;887;Withdrawal;Savings
237;2022-11-20;118;Deposit;Checking
238;2022-09-07;7018;Deposit;Checking
239;2022-03-11;596;Withdrawal;Savings
240;2022-04-26;674;Withdrawal;Checking
241;2022-10-03;873;Deposit;Checking
242;2022-03-29;929;Withdrawal;Savings
243;2022-02-13;229;Withdrawal;Savings
244;2022-09-18;508;Deposit;Checking
245;2022-09-30;764;Withdrawal;Checking
246;2022-01-22;122;Withdrawal;Savings
247;2022-01-02;327;Deposit;Savings
248;2022-02-15;470;Withdrawal;Savings
249;2022-04-24;288;Deposit;Savings
250;2022-08-21;526;Deposit;Savings
251;2022-11-11;840;Withdrawal;Checking
252;2022-09-27;697;Withdrawal;Checking
253;2022-08-28;153;Withdrawal;Checking
254;2022-08-01;592;Deposit;Savings
255;2022-04-19;42;Withdrawal;Checking
256;2022-03-07;275;Withdrawal;Savings
257;2022-02-04;553;Deposit;Checking
258;2022-12-05;439;Deposit;Checking
259;2022-12-24;208;Deposit;Checking
260;2022-05-04;780;Withdrawal;Checking
261;2022-08-06;167;Deposit;Checking
262;2022-04-06;112;Deposit;Savings
263;2022-06-16;350;Withdrawal;Checking
264;2022-04-07;130;Withdrawal;Checking
265;2022-07-08;736;Deposit;Savings
266;2022-03-01;887;Withdrawal;Checking
267;2022-08-25;813;Withdrawal;Checking
268;2022-09-02;217;Deposit;Checking
269;2022-12-06;382;Withdrawal;Checking
270;2022-12-04;25;Withdrawal;Savings
271;2022-05-11;5041;Deposit;Savings
272;2022-07-05;979;Deposit;Checking
273;2022-07-19;772;Withdrawal;Checking
274;2022-04-13;235;Withdrawal;Savings
275;2022-04-17;717;Deposit;Savings
276;2022-11-18;999;Withdrawal;Checking
277;2022-09-28;292;Deposit;Checking
278;2022-10-16;727;Deposit;Savings
279;2022-06-03;702;Deposit;Checking
280;2022-05-24;710;Deposit;Checking
281;2022-06-21;728;Withdrawal;Savings
282;2022-02-16;556;Deposit;Checking
283;2022-04-24;33;Deposit;Savings
284;2022-10-14;12;Deposit;Savings
285;2022-12-01;617;Withdrawal;Savings
286;2022-09-19;213;Deposit;Savings
287;2022-05-21;139;Deposit;Checking
288;2022-06-27;695;Withdrawal;Savings
289;2022-08-26;422;Deposit;Savings
290;2022-08-17;638;Withdrawal;Checking
291;2022-02-25;8966;Withdrawal;Savings
292;2022-05-31;624;Deposit;Savings
293;2022-03-11;489;Withdrawal;Savings
294;2022-11-25;771;Withdrawal;Checking
295;2022-08-17;540;Deposit;Savings
296;2022-09-30;980;Withdrawal;Checking
297;2022-03-04;218;Withdrawal;Savings
298;2022-06-28;664;Withdrawal;Savings
299;2022-06-17;822;Withdrawal;Savings
300;2022-04-08;308;Deposit;Savings
301;2022-08-06;175;Deposit;Savings
302;2022-06-16;149;Deposit;Checking
303;2022-10-01;950;Withdrawal;Savings
304;2022-09-08;542;Deposit;Checking
305;2022-10-10;580;Deposit;Checking
306;2022-06-26;548;Deposit;Savings
307;2022-07-24;808;Withdrawal;Checking
308;2022-10-07;394;Deposit;Savings
309;2022-10-27;74;Deposit;Savings
310;2022-10-15;298;Withdrawal;Checking
311;2022-10-23;920;Deposit;Checking
312;2022-11-22;900;Withdrawal;Savings
313;2022-02-13;815;Deposit;Checking
314;2022-02-18;731;Withdrawal;Savings
315;2022-01-21;947;Withdrawal;Savings
316;2022-09-01;6538;Deposit;Savings
317;2022-08-25;772;Withdrawal;Savings
318;2022-11-20;800;Deposit;Savings
319;2022-11-12;778;Deposit;Savings
320;2022-07-18;395;Deposit;Savings
321;2022-10-29;540;Deposit;Checking
322;2022-10-16;430;Deposit;Checking
323;2022-01-21;200;Deposit;Checking
324;2022-12-05;424;Deposit;Checking
325;2022-03-16;62;Deposit;Checking
326;2022-10-26;9477;Deposit;Checking
327;2022-03-12;866;Deposit;Savings
328;2022-05-24;45;Deposit;Savings
329;2022-10-27;803;Deposit;Checking
330;2022-08-24;931;Withdrawal;Savings
331;2022-12-25;89;Withdrawal;Savings
332;2022-05-30;34;Deposit;Checking
333;2022-08-07;646;Withdrawal;Checking
334;2022-07-30;233;Deposit;Savings
335;2022-11-02;768;Deposit;Checking
336;2022-01-07;37;Deposit;Savings
337;2022-06-28;769;Deposit;Checking
338;2022-07-19;460;Withdrawal;Savings
339;2022-05-17;291;Withdrawal;Savings
340;2022-05-31;198;Deposit;Savings
341;2022-02-08;9485;Deposit;Checking
342;2022-03-19;950;Withdrawal;Checking
343;2022-09-23;255;Withdrawal;Savings
344;2022-12-14;81;Deposit;Checking
345;2022-07-28;447;Deposit;Checking
346;2022-09-15;137;Deposit;Checking
347;2022-02-26;190;Deposit;Checking
348;2022-09-25;130;Deposit;Checking
349;2022-02-09;210;Withdrawal;Savings
350;2022-12-06;369;Deposit;Savings
351;2022-05-29;292;Withdrawal;Checking
352;2022-11-04;377;Deposit;Savings
353;2022-10-17;348;Withdrawal;Savings
354;2022-04-15;169;Deposit;Checking
355;2022-08-25;885;Withdrawal;Checking
356;2022-04-24;805;Withdrawal;Savings
357;2022-12-08;177;Withdrawal;Savings
358;2022-02-21;538;Deposit;Savings
359;2022-01-23;324;Deposit;Checking
360;2022-10-15;872;Withdrawal;Savings
361;2022-10-13;509;Withdrawal;Checking
362;2022-01-21;804;Withdrawal;Savings
363;2022-10-21;115;Withdrawal;Checking
364;2022-04-30;799;Withdrawal;Checking
365;2022-01-05;30;Withdrawal;Savings
366;2022-09-08;754;Withdrawal;Savings
367;2022-05-25;290;Withdrawal;Savings
368;2022-12-25;147;Withdrawal;Savings
369;2022-12-14;274;Withdrawal;Savings
370;2022-09-08;222;Deposit;Savings
371;2022-10-06;341;Deposit;Checking
372;2022-07-13;510;Deposit;Checking
373;2022-08-02;8681;Deposit;Savings
374;2022-10-31;70;Deposit;Savings
375;2022-03-03;358;Deposit;Savings
376;2022-04-15;909;Withdrawal;Savings
377;2022-07-18;557;Withdrawal;Savings
378;2022-10-07;886;Deposit;Checking
379;2022-02-09;766;Withdrawal;Savings
380;2022-03-13;323;Deposit;Checking
381;2022-06-13;624;Withdrawal;Checking
382;2022-09-28;92;Withdrawal;Checking
383;2022-08-29;342;Withdrawal;Checking
384;2022-10-11;424;Withdrawal;Checking
385;2022-05-09;552;Deposit;Savings
386;2022-12-03;5226;Withdrawal;Checking
387;2022-12-15;663;Withdrawal;Checking
388;2022-12-09;415;Deposit;Savings
389;2022-01-12;658;Deposit;Checking
390;2022-06-26;711;Deposit;Checking
391;2022-11-18;968;Withdrawal;Checking
392;2022-01-01;9858;Withdrawal;Checking
393;2022-12-23;861;Withdrawal;Checking
394;2022-01-02;44;Deposit;Savings
395;2022-08-23;84;Deposit;Checking
396;2022-03-13;434;Deposit;Savings
397;2023-01-01;810;Deposit;Savings
398;2022-12-10;94;Deposit;Checking
399;2022-07-16;175;Deposit;Savings
400;2022-01-31;406;Deposit;Checking
401;2022-10-30;202;Withdrawal;Checking
402;2022-02-13;858;Withdrawal;Savings
403;2022-10-01;499;Deposit;Savings
404;2022-08-23;481;Withdrawal;Checking
405;2022-06-17;988;Deposit;Savings
406;2022-12-10;330;Deposit;Checking
407;2022-03-02;541;Withdrawal;Checking
408;2022-08-12;210;Withdrawal;Checking
409;2022-02-12;618;Deposit;Savings
410;2022-03-24;955;Deposit;Checking
411;2022-07-14;897;Withdrawal;Checking
412;2022-06-16;983;Deposit;Savings
413;2022-05-05;576;Deposit;Checking
414;2022-10-22;17;Deposit;Checking
415;2022-08-25;107;Deposit;Checking
416;2022-01-04;8726;Withdrawal;Checking
417;2022-06-03;607;Withdrawal;Savings
418;2022-07-06;537;Deposit;Savings
419;2022-04-08;629;Withdrawal;Savings
420;2022-02-22;192;Deposit;Checking
421;2022-07-20;9635;Deposit;Savings
422;2022-03-12;308;Deposit;Checking
423;2022-09-28;137;Withdrawal;Checking
424;2022-03-27;953;Deposit;Savings
425;2022-05-10;860;Withdrawal;Checking
426;2022-10-09;94;Deposit;Checking
427;2022-06-29;892;Withdrawal;Savings
428;2022-01-03;751;Deposit;Savings
429;2022-03-02;88;Deposit;Savings
430;2022-02-18;161;Deposit;Savings
431;2022-01-11;148;Withdrawal;Savings
432;2022-07-31;585;Deposit;Savings
433;2022-08-17;456;Withdrawal;Checking
434;2022-04-06;88;Deposit;Savings
435;2022-07-04;14;Deposit;Checking
436;2022-03-03;315;Deposit;Savings
437;2022-07-10;594;Withdrawal;Checking
438;2022-06-03;121;Deposit;Savings
439;2022-04-20;885;Withdrawal;Checking
440;2022-10-07;952;Deposit;Savings
441;2022-12-08;833;Deposit;Savings
442;2022-11-07;716;Deposit;Savings
443;2022-08-20;9606;Withdrawal;Checking
444;2022-04-13;933;Deposit;Checking
445;2022-06-06;5447;Deposit;Savings
446;2022-11-21;801;Withdrawal;Checking
447;2022-09-11;427;Withdrawal;Checking
448;2022-07-09;783;Withdrawal;Savings
449;2022-04-24;471;Withdrawal;Savings
450;2022-04-26;285;Deposit;Savings
451;2022-12-11;277;Withdrawal;Checking
452;2022-12-10;979;Deposit;Savings
453;2022-08-31;325;Withdrawal;Checking
454;2022-10-16;7747;Deposit;Checking
455;2022-02-26;228;Withdrawal;Checking
456;2022-02-17;891;Deposit;Checking
457;2022-12-18;596;Withdrawal;Checking
458;2022-07-23;648;Deposit;Savings
459;2022-02-21;969;Deposit;Savings
460;2022-06-09;574;Deposit;Savings
461;2022-10-23;654;Deposit;Savings
462;2022-06-24;518;Withdrawal;Checking
463;2022-12-13;257;Withdrawal;Savings
464;2022-11-08;137;Withdrawal;Checking
465;2022-09-10;9419;Withdrawal;Savings
466;2022-03-24;464;Deposit;Checking
467;2022-08-05;950;Withdrawal;Savings
468;2022-02-20;140;Deposit;Savings
469;2022-11-14;5;Deposit;Savings
470;2022-12-25;424;Deposit;Savings
471;2022-09-30;349;Withdrawal;Savings
472;2022-08-27;942;Deposit;Savings
473;2022-10-10;283;Withdrawal;Savings
474;2022-11-29;587;Deposit;Savings
475;2022-11-03;821;Deposit;Checking
476;2022-04-28;434;Withdrawal;Checking
477;2022-04-11;220;Deposit;Savings
478;2022-03-20;820;Deposit;Checking
479;2022-03-20;740;Withdrawal;Checking
480;2022-02-14;874;Withdrawal;Checking
481;2022-11-17;787;Deposit;Savings
482;2022-06-24;5220;Deposit;Savings
483;2022-05-31;291;Withdrawal;Savings
484;2022-05-01;564;Deposit;Checking
485;2022-03-20;671;Deposit;Savings
486;2022-06-13;438;Withdrawal;Checking
487;2022-11-17;827;Withdrawal;Savings
488;2022-11-11;940;Deposit;Savings
489;2022-06-06;824;Withdrawal;Checking
490;2022-07-01;509;Deposit;Checking
491;2022-12-22;787;Deposit;Savings
492;2022-12-18;6808;Deposit;Savings
493;2022-05-08;856;Deposit;Savings
494;2022-05-31;450;Withdrawal;Checking
495;2022-10-22;327;Withdrawal;Checking
496;2022-03-11;491;Deposit;Savings
497;2022-02-15;54;Withdrawal;Checking
498;2022-08-19;817;Withdrawal;Savings
499;2022-09-02;95;Withdrawal;Savings
500;2022-07-23;60;Withdrawal;Checking
501;2022-10-14;337;Withdrawal;Checking
502;2022-01-15;667;Withdrawal;Checking
503;2022-12-23;637;Withdrawal;Savings
504;2022-12-01;164;Deposit;Savings
505;2022-03-10;571;Deposit;Savings
506;2022-05-13;946;Withdrawal;Savings
507;2022-09-22;107;Withdrawal;Savings
508;2022-06-21;202;Withdrawal;Checking
509;2022-07-28;301;Deposit;Savings
510;2022-04-23;782;Deposit;Checking
511;2022-01-09;890;Withdrawal;Savings
512;2022-04-02;839;Withdrawal;Checking
513;2022-10-20;551;Withdrawal;Savings
514;2022-06-06;680;Deposit;Checking
515;2022-02-17;649;Withdrawal;Checking
516;2022-01-12;14;Deposit;Checking
517;2022-01-10;904;Withdrawal;Savings
518;2022-05-19;721;Deposit;Savings
519;2022-01-14;535;Withdrawal;Savings
520;2022-06-07;505;Withdrawal;Savings
521;2022-03-03;848;Withdrawal;Checking
522;2022-05-29;986;Deposit;Savings
523;2022-06-23;777;Withdrawal;Savings
524;2022-04-18;740;Withdrawal;Savings
525;2022-09-21;775;Withdrawal;Savings
526;2022-06-19;210;Withdrawal;Savings
527;2022-05-11;456;Deposit;Savings
528;2022-04-12;469;Withdrawal;Savings
529;2022-06-19;474;Deposit;Savings
530;2022-12-04;963;Withdrawal;Savings
531;2022-06-23;573;Deposit;Savings
532;2022-01-08;401;Withdrawal;Checking
533;2022-09-21;57;Deposit;Checking
534;2022-12-09;883;Withdrawal;Savings
535;2022-12-22;5211;Withdrawal;Savings
536;2022-04-17;664;Deposit;Savings
537;2022-07-15;281;Deposit;Savings
538;2022-05-04;5;Deposit;Savings
539;2022-05-23;613;Deposit;Checking
540;2022-02-23;306;Deposit;Savings
541;2022-05-06;344;Withdrawal;Checking
542;2022-08-14;543;Deposit;Savings
543;2022-01-14;567;Deposit;Savings
544;2022-02-06;154;Withdrawal;Savings
545;2022-04-16;789;Withdrawal;Savings
546;2022-06-29;354;Withdrawal;Savings
547;2022-12-25;358;Deposit;Savings
548;2022-12-11;698;Withdrawal;Checking
549;2022-03-10;408;Deposit;Checking
550;2022-06-03;412;Withdrawal;Checking
551;2022-07-10;30;Withdrawal;Savings
552;2022-05-18;930;Withdrawal;Checking
553;2022-07-12;372;Withdrawal;Savings
554;2022-12-23;822;Deposit;Checking
555;2022-01-17;632;Withdrawal;Savings
556;2022-04-12;948;Withdrawal;Savings
557;2022-08-02;855;Withdrawal;Savings
558;2022-03-28;503;Deposit;Savings
559;2022-08-15;8;Deposit;Savings
560;2022-09-23;618;Deposit;Savings
561;2022-03-29;138;Deposit;Checking
562;2022-07-18;695;Deposit;Savings
563;2022-01-13;897;Withdrawal;Checking
564;2022-07-02;852;Withdrawal;Checking
565;2022-08-18;7854;Deposit;Checking
566;2022-05-25;933;Withdrawal;Checking
567;2022-08-20;722;Withdrawal;Savings
568;2022-09-06;149;Withdrawal;Checking
569;2022-02-09;886;Withdrawal;Checking
570;2022-11-27;260;Withdrawal;Checking
571;2022-01-24;127;Withdrawal;Checking
572;2022-11-05;811;Withdrawal;Checking
573;2022-12-10;578;Deposit;Savings
574;2022-11-08;533;Deposit;Savings
575;2022-04-27;805;Deposit;Savings
576;2022-01-07;325;Withdrawal;Checking
577;2022-04-18;977;Deposit;Savings
578;2022-01-24;113;Withdrawal;Checking
579;2022-07-17;944;Withdrawal;Savings
580;2022-09-04;651;Deposit;Checking
581;2022-10-21;238;Withdrawal;Savings
582;2022-12-27;361;Withdrawal;Checking
583;2022-08-29;991;Withdrawal;Savings
584;2022-08-03;860;Deposit;Savings
585;2022-01-08;556;Deposit;Checking
586;2022-02-04;64;Deposit;Checking
587;2022-05-13;928;Withdrawal;Savings
588;2022-10-10;917;Deposit;Savings
589;2022-09-07;455;Deposit;Checking
590;2022-06-21;266;Deposit;Savings
591;2022-08-03;445;Deposit;Savings
592;2022-06-12;604;Deposit;Checking
593;2022-08-20;624;Deposit;Checking
594;2022-06-21;420;Withdrawal;Checking
595;2022-10-12;340;Deposit;Checking
596;2022-06-14;845;Withdrawal;Checking
597;2022-01-21;275;Withdrawal;Checking
598;2022-09-29;370;Withdrawal;Savings
599;2022-07-18;843;Withdrawal;Savings
600;2022-07-14;227;Withdrawal;Savings
601;2022-09-06;226;Deposit;Checking
602;2022-07-21;940;Withdrawal;Checking
603;2022-04-08;644;Deposit;Savings
604;2022-07-06;909;Deposit;Savings
605;2022-06-04;229;Withdrawal;Checking
606;2022-09-17;827;Deposit;Checking
607;2022-09-05;898;Withdrawal;Checking
608;2022-07-05;370;Deposit;Savings
609;2022-10-16;129;Withdrawal;Checking
610;2022-02-20;808;Deposit;Checking
611;2022-05-28;25;Withdrawal;Checking
612;2022-12-23;699;Withdrawal;Savings
613;2022-12-08;293;Withdrawal;Checking
614;2022-08-13;356;Deposit;Savings
615;2022-11-27;838;Withdrawal;Savings
616;2022-08-15;135;Deposit;Checking
617;2022-04-19;4;Withdrawal;Savings
618;2022-12-22;227;Withdrawal;Checking
619;2022-10-04;890;Deposit;Checking
620;2022-07-21;681;Deposit;Checking
621;2022-10-04;445;Deposit;Savings
622;2022-07-29;418;Withdrawal;Checking
623;2022-08-20;285;Withdrawal;Checking
624;2022-01-02;837;Deposit;Checking
625;2022-04-26;27;Deposit;Savings
626;2022-03-27;737;Deposit;Savings
627;2022-07-24;249;Deposit;Checking
628;2022-11-06;366;Withdrawal;Checking
629;2022-10-20;948;Withdrawal;Checking
630;2022-12-24;202;Deposit;Checking
631;2022-02-11;438;Withdrawal;Checking
632;2022-02-21;198;Withdrawal;Checking
633;2022-11-21;6589;Withdrawal;Savings
634;2022-01-21;648;Withdrawal;Checking
635;2022-03-03;638;Deposit;Savings
636;2022-02-22;607;Withdrawal;Savings
637;2022-05-03;73;Withdrawal;Checking
638;2022-05-17;247;Deposit;Checking
639;2022-06-01;853;Withdrawal;Savings
640;2022-03-02;136;Withdrawal;Savings
641;2022-08-04;708;Withdrawal;Checking
642;2022-06-19;214;Withdrawal;Checking
643;2022-11-06;476;Deposit;Checking
644;2022-03-20;621;Deposit;Checking
645;2022-06-14;324;Withdrawal;Checking
646;2022-03-06;103;Withdrawal;Checking
647;2022-01-20;853;Deposit;Savings
648;2022-06-27;328;Withdrawal;Savings
649;2022-03-14;596;Deposit;Savings
650;2022-02-15;5738;Deposit;Checking
651;2022-05-18;257;Withdrawal;Checking
652;2022-04-21;646;Deposit;Checking
653;2022-01-14;348;Withdrawal;Checking
654;2022-12-31;108;Withdrawal;Checking
655;2022-09-09;927;Withdrawal;Savings
656;2022-06-12;970;Deposit;Savings
657;2022-12-24;980;Deposit;Checking
658;2022-02-26;520;Deposit;Checking
659;2022-10-16;150;Withdrawal;Checking
660;2022-06-21;998;Withdrawal;Savings
661;2022-04-01;477;Withdrawal;Savings
